id,name,total_population,median_household_income
1,Kashmere Gardens,10055.00,23102.00
2,Trinity / Houston Gardens,15789.00,27789.00
3,Settegast,2981.00,28821.00
4,Denver Harbor / Port Houston,17571.00,29273.00
5,South Park,21208.00,29475.00
6,Westwood,19530.00,29527.00
7,Greater Fifth Ward,19687.00,30535.00
8,Clinton Park / Tri-Community,3140.00,31826.00
9,East Houston,18580.00,31826.00
10,Magnolia Park,16999.00,32039.00
11,Gulfgate Riverview / Pine Valley,12723.00,32595.00
12,Pleasantville,2860.00,32899.00
13,Eastex - Jensen,25724.00,32923.00
14,Sharpstown,77220.00,33086.00
15,Northside / Northline,59410.00,33713.00
16,Greater Greenspoint,41392.00,33909.00
17,Greater OST / South Union,19141.00,34019.00
18,Hidden Valley,3569.00,34452.00
19,Pecan Park,16259.00,34622.00
20,Golfcrest / Bellfort / Reveille,51432.00,34731.00
21,Lawndale / Wayside,12982.00,35968.00
22,Sunnyside,20071.00,35990.00
23,East Little York / Homestead,19607.00,36003.00
24,Near Northside,27348.00,36845.00
25,Harrisburg / Manchester,2926.00,37359.00
26,Park Place,9898.00,37486.00
27,Fairbanks / Northwest Crossing,18007.00,38905.00
28,Second Ward,13139.00,39146.00
29,El Dorado / Oates Prairie,3852.00,39216.00
30,Acres Home,25828.00,39269.00
31,Greater Third Ward,14295.00,40523.00
32,Northshore,28790.00,41497.00
33,Meadowbrook / Allendale,24134.00,41732.00
34,Alief,106657.00,41833.00
35,Brays Oaks,64548.00,42414.00
36,Langwood,9744.00,42766.00
37,Independence Heights,13728.00,42813.00
38,Braeburn,18843.00,42958.00
39,Greater Inwood,37056.00,43130.00
40,Addicks Park Ten,19683.00,43734.00
41,Minnetex,6303.00,45109.00
42,Edgebrook,23584.00,45982.00
43,South Acres / Crestmont Park,19137.00,46175.00
44,Astrodome Area,18223.00,46284.00
45,Central Southwest,66918.00,47057.00
46,"	Greater Eastwood",10776.00,48426.00
47,Hunterwood,1951.00,48670.00
48,Westchase,29149.00,48898.00
49,Greater Hobby,25385.00,50832.00
50,South Main,6006.00,50934.00
51,IAH Airport,15752.00,51435.00
52,Gulfton,41089.00,52037.00
53,Spring Branch North,20942.00,52122.00
54,Mid-West (formerly Woodlake/Briarmeadow),50017.00,53102.00
55,Fort Bend / Houston,33630.00,53105.00
56,Spring Branch Central,28080.00,53651.00
57,Fondren Gardens,2730.00,53968.00
58,South Belt / Ellington,64667.00,57488.00
59,Willowbrook,8509.00,58713.00
60,Willow Meadows / Willowbend,14014.00,59659.00
61,Westbury,20963.00,62120.00
62,Central Northwest,41993.00,62750.00
63,Macgregor,18459.00,63188.00
64,Spring Branch East,26877.00,65467.00
65,Carverdale,3903.00,68107.00
66,Spring Branch West,31878.00,71534.00
67,Downtown,12088.00,71666.00
68,Briar Forest,43018.00,76462.00
69,Midtown,8597.00,77261.00
70,Eldridge / West Oaks,72347.00,79787.00
71,Lazybrook / Timbergrove,13099.00,80032.00
72,Greater Heights,41362.00,80048.00
73,Westbranch,3633.00,81240.00
74,Meyerland,21445.00,81408.00
75,Medical Center,2717.00,82230.00
76,Greater Uptown,50731.00,83399.00
77,Clear Lake,62268.00,84710.00
78,Neartown / Montrose,31037.00,85296.00
79,Fourth Ward,4085.00,88231.00
80,Kingwood,62067.00,92021.00
81,Braeswood,21835.00,93748.00
82,Memorial,47604.00,94927.00
83,Lake Houston,22280.00,95074.00
84,Afton Oaks / River Oaks,14518.00,95682.00
85,Washington Avenue Coalition / Memorial Park,29033.00,99302.00
86,Greenway / Upper Kirby,21120.00,100274.00
87,Museum Park (formerly Binz),5509.00,101703.00
88,University Place,16342.00,111510.00
