,id,address,price,type,bed,sqft,walk,transit,bike,zipcode
1,80,"4031 Wilderness Falls Trl, Humble, TX 77339",369900,Single family residence,2,2395,53,0,47,77339
2,40,"19410 Leafwood Ln, Houston, TX 77084",220000,Single family residence,3,1384,34,0,52,77084
3,0,"13219 Liliana Glen Ln, Houston, TX 77044",242500,Single family residence,3,1597,8,0,26,77044
4,0,"13219 Liliana Glen Ln, Houston, TX 77014",129900,Ranch,3,1170,11,25,28,77014
5,17,"4959 Culmore Dr, Houston, TX 77021",345000,Single family residence,4,1925,50,54,56,77021
6,0,"13219 Liliana Glen Ln, Houston, TX 77008",260000,Single family residence,3,1296,75,43,60,77008
7,62,"803 Martin Rd A, Houston, TX 77018",449900,Single family residence,3,1861,39,47,43,77018
8,77,"1806 Royal Fern Ct, Houston, TX 77062",1089500,Single family residence,5,5456,24,0,44,77062
9,85,"5850 Petty St, Houston, TX 77007",495000,Single family residence,4,2611,38,39,41,77007
10,0,"5606 Champions Glen Dr, Houston, TX 77069",369500,Single family residence,3,2794,16,0,30,77069
11,84,"1000 Kirby Dr, Houston, TX 77019",15995000,Single family residence,10,22880,34,46,61,77019
12,0,"7138 Hollow Cedar Dr, Houston, TX 77049",306000,Single family residence,5,3159,18,0,32,77049
13,39,"6215 Maywood Forest Dr, Houston, TX 77088",255000,Single family residence,3,1990,31,33,34,77088
14,46,"4948 Leeland St, Houston, TX 77023",429900,Single family residence,2,1546,79,57,66,77023
15,0,"14042 Coveney Dr, Houston, TX 77090",300000,Single family residence,4,2905,15,24,28,77090
16,80,"3603 Glenwood Springs Dr, Kingwood, TX 77345",260000,Single family residence,4,2143,21,0,42,77345
17,17,"3915 Daphne St, Houston, TX 77021",157000,Ranch,2,1300,63,49,53,77021
18,37,"4508 Old Yale St G, Houston, TX 77018",369900,Single family residence,3,1574,53,47,73,77018
19,80,"2807 Sandberry Dr, Kingwood, TX 77345",279000,Single family residence,3,1964,45,0,36,77345
20,45,"306 Fellows Rd, Houston, TX 77047",225000,Single family residence,3,2096,20,0,31,77047
21,61,"5506 Willowbend Blvd, Houston, TX 77096",529999,Single family residence,3,2270,35,34,37,77096
22,39,"7719 Woodsman Trl, Houston, TX 77040",220000,Single family residence,3,1243,12,0,29,77040
23,0,"11811 Cassia Cir, Houston, TX 77065",475000,Single family residence,5,3700,12,0,28,77065
24,68,"1912 Courtney Lane Dr, Houston, TX 77042",275000,Single family residence,3,1471,71,35,64,77042
25,65,"5635 Teague Rd, Houston, TX 77041",247000,Single family residence,3,1152,50,38,41,77041
26,72,"1810 Lula St, Houston, TX 77009",380000,Single family residence,2,1060,53,53,59,77009
27,0,"15818 Crystal Brook Dr, Houston, TX 77068",349900,Single family residence,4,3174,11,0,41,77068
28,51,"21211 Tancah Ln, Houston, TX 77073",275000,Single family residence,5,3096,31,27,34,77073
29,68,"1515 Sandy Springs Rd 2605, Houston, TX 77042",160000,Townhouse,2,1225,58,32,57,77042
30,78,"615 W Drew St, Houston, TX 77006",324500,Townhouse,2,1122,88,59,74,77006
31,0,"2835 Hackamore Hollow Ln, Houston, TX 77014",224900,Townhouse,3,1683,19,27,29,77014
32,85,"5450 Crooms St, Houston, TX 77007",430000,Townhouse,3,2217,73,45,45,77007
33,85,"915 E Heights Hollow Ln, Houston, TX 77007",350000,Townhouse,2,1644,78,49,75,77007
34,82,"176 Litchfield Ln, Houston, TX 77024",399900,Townhouse,3,3770,46,39,30,77024
35,82,"246 Litchfield Ln, Houston, TX 77024",330000,Townhouse,2,1701,43,39,26,77024
36,72,"1727 Stacy Crst, Houston, TX 77008",399900,Townhouse,3,2510,62,35,54,77008
37,27,"6435 W Linpar Ct, Houston, TX 77040",280000,Townhouse,3,2278,40,30,36,77040
38,35,"6633 W Airport Blvd APT 101, Houston, TX 77035",125000,Townhouse,2,1584,54,41,40,77035
39,70,"2940 Meadowgrass Ln, Houston, TX 77082",180000,Townhouse,3,1480,36,38,40,77082
40,0,"16800 Sugar Pine Dr APT B15, Houston, TX 77090",139990,Townhouse,2,1476,48,32,41,77090
41,85,"185 Asbury St, Houston, TX 77007",439900,Townhouse,2,2242,69,44,37,77007
42,66,"10000 Westview Dr 6, Houston, TX 77055",159900,Townhouse,2,1324,66,45,56,77055
43,20,"7910 Grove Ridge Dr 7, Houston, TX 77061",90000,Townhouse,2,1122,56,46,52,77061
44,88,"2417 Dorrington St UNIT B, Houston, TX 77030",585000,Townhouse,3,2710,85,65,90,77030
45,53,"2968 Gessner Rd, Houston, TX 77080",277500,Townhouse,5,2888,69,40,61,77080
46,9,"9706 Farragut St, Houston, TX 77078",129000,Townhouse,3,1104,3,35,29,77078
47,82,"15151 Kimberley Ct 34, Houston, TX 77079",350000,Townhouse,4,2152,57,32,72,77079
48,28,"2358 Commerce St, Houston, TX 77003",424900,Townhouse,3,2050,67,69,76,77003
49,79,"1117 Buckner St, Houston, TX 77019",369000,Townhouse,2,1800,80,89,78,77019
50,76,"2600 Nantucket Dr C, Houston, TX 77057",374900,Townhouse,3,1845,83,50,50,77057
51,86,"3330 Las Palmas St APT 22, Houston, TX 77027",297000,Townhouse,2,1302,75,52,53,77027
52,70,"1022 Enclave Sq N, Houston, TX 77077",337800,Townhouse,3,2033,61,32,73,77077
53,48,"9850 Pagewood Ln APT 1808, Houston, TX 77042",166000,Townhouse,2,1520,59,49,53,77042
54,0,"9123 Monarch Mist Ln, Houston, TX 77070",283000,Townhouse,3,2030,44,0,45,77070
55,82,"14333 Memorial Dr APT 5, Houston, TX 77079",220000,Townhouse,3,1840,79,27,60,77079
56,35,"6633 W Airport Blvd 309, Houston, TX 77035",110000,Townhouse,2,1305,54,41,40,77035
57,76,"2625 Marilee Ln APT 1, Houston, TX 77057",149000,Townhouse,2,916,69,50,50,77057
58,78,"1101 Missouri St, Houston, TX 77006",620000,Townhouse,3,3032,94,52,77,77006
59,81,"7350 Kirby Dr APT 11, Houston, TX 77030",299000,Townhouse,2,1747,73,55,92,77030
60,76,"2505 Bering Dr UNIT 9, Houston, TX 77057",199999,Townhouse,1,1116,69,49,53,77057
61,35,"12247 Lemon Ridge Ln 122, Houston, TX 77035",131900,Townhouse,3,1244,50,40,41,77035
62,82,"12625 Memorial Dr APT 56, Houston, TX 77024",319900,Townhouse,3,1701,53,34,50,77024
63,34,"8320 Wild Rose St APT 15B, Houston, TX 77083",120000,Townhouse,2,1198,38,41,39,77083
64,85,"5110 Eigel St, Houston, TX 77007",475000,Townhouse,3,2681,84,45,52,77007
65,0,"3413 Robin Rose Ln, Houston, TX 77080",410000,Townhouse,3,1925,3,32,28,77080
66,64,"1305 Mayfair Clarkson Ln, Houston, TX 77055",485000,Townhouse,3,2364,28,48,51,77055
67,76,"8618 La Fonte St, Houston, TX 77024",625000,Townhouse,3,2772,35,60,49,77024
68,0,"14515 Wunderlich Dr UNIT 315, Houston, TX 77069",155000,Townhouse,2,1331,11,26,31,77069
69,85,"6602 Wanita Pl A, Houston, TX 77007",1375000,Townhouse,4,3859,55,38,48,77007
70,85,"234 Detering St, Houston, TX 77007",500000,Townhouse,3,2348,74,47,58,77007
71,85,"4306 Center St, Houston, TX 77007",599000,Townhouse,4,2462,77,49,58,77007
72,70,"13932 Hollowgreen Dr 26, Houston, TX 77082",166999,Townhouse,2,1254,56,32,44,77082
73,78,"306 Fargo St, Houston, TX 77006",429900,Townhouse,3,2535,79,66,68,77006
74,78,"2204 Whitney St, Houston, TX 77006",599000,Townhouse,3,2394,88,59,74,77006
75,68,"1615 Prairie Mark Ln, Houston, TX 77077",215000,Townhouse,2,1460,25,33,56,77077
76,68,"11201 Lynbrook Dr APT 3202, Houston, TX 77042",170000,Townhouse,2,1225,53,35,57,77042
77,78,"1010 Columbus St, Houston, TX 77019",450000,Townhouse,2,1968,86,50,64,77019
78,23,"12215 W Village Dr UNIT A, Houston, TX 77039",114900,Townhouse,2,1135,37,34,44,77039
